chr	start	end	n_bases_covered	log2_mean_cov
chr1	0	499999	46	-13.408003727874194
chr1	500000	999999	22075	-4.501439866508016
chr1	1000000	1499999	202	-11.273354201179412
chr1	1500000	1999999	1589	-8.297662274582688
chr1	2000000	2499999	726	-9.427739945935457
chr1	2500000	2999999	403	-10.27692965540324
chr1	3000000	3499999	138	-11.823041227153038
chr1	3500000	3999999	1863	-8.06815372498957
chr1	4000000	4499999	1187	-8.7184614642893
chr1	4500000	4999999	896	-9.124210761873602
chr1	5000000	5499999	1298	-8.589491015932069
chr1	5500000	5999999	192	-11.34660318321005
chr1	6000000	6499999	2861	-7.449261901608024
chr1	6500000	6999999	3658	-7.09472632418249
chr1	7000000	7499999	2151	-7.860773874508146
chr1	7500000	7999999	321	-10.605136196808903
chr1	8000000	8499999	1779	-8.134714888664048
chr1	8500000	8999999	956	-9.030698875950458
chr1	9000000	9499999	7404	-6.077476504060633
chr1	9500000	9999999	2575	-7.601208966973264
chr1	10000000	10499999	468	-10.061200964347803
chr1	10500000	10999999	7453	-6.067960139609757
chr1	11000000	11499999	9999	-5.643997581099803
chr1	11500000	11999999	2218	-7.8165220337694965
chr1	12000000	12499999	78	-12.646163465068959
chr1	12500000	12999999	3293	-7.24637888733586
chr1	13000000	13499999	661	-9.563059222423515
chr1	13500000	13999999	2888	-7.435710657044035
chr1	14000000	14499999	1361	-8.521114332427212
chr1	14500000	14999999	4521	-6.789139481612227
chr1	15000000	15499999	1198	-8.705153491142422
chr1	15500000	15999999	1891	-8.046632035981446
chr1	16000000	16499999	1498	-8.382743775472456
chr1	16500000	16999999	1125	-8.795856397826809
chr1	17000000	17499999	610	-9.67890025148096
chr1	17500000	17999999	916	-9.092361895834262
chr1	18000000	18499999	1340	-8.543548398586072
chr1	18500000	18999999	2108	-7.889906532293992
chr1	19000000	19499999	6826	-6.194740984832341
chr1	19500000	19999999	2206	-7.824348608339824
chr1	20000000	20499999	1052	-8.892646694638904
chr1	20500000	20999999	717	-9.445736375229302
chr1	21000000	21499999	0	-inf
chr1	21500000	21999999	1236	-8.660102656026833
chr1	22000000	22499999	2572	-7.6028907566032595
chr1	22500000	22999999	198	-11.302209063851597
chr1	23000000	23499999	1117	-8.806152213447891
chr1	23500000	23999999	2579	-7.598969626141993
chr1	24000000	24499999	3767	-7.052365365983814
chr1	24500000	24999999	2183	-7.839469268940416
chr1	25000000	25499999	1523	-8.358865457443915
chr1	25500000	25999999	983	-8.990518077590627
chr1	26000000	26499999	336	-10.539248261152446
chr1	26500000	26999999	2977	-7.3919221776931705
chr1	27000000	27499999	1053	-8.89127596290549
chr1	27500000	27999999	3799	-7.040161687266185
chr1	28000000	28499999	846	-9.207051830811258
chr1	28500000	28999999	2556	-7.611893562984212
chr1	29000000	29499999	1160	-8.751656593916273
chr1	29500000	29999999	318	-10.618682728646851
chr1	30000000	30499999	27391	-4.190151366972809
chr1	30500000	30999999	773	-9.33724108000636
chr1	31000000	31499999	252	-10.95428576043129
